город	код_региона	регион	центр	население
Армянськ	91	Крым Республика	-	-
Артемовск	24	Красноярский Край	-	-
Артемовский	66	Свердловская Область	района	-
Ахтубинск-7	30	Астраханская Область	-	-
Белев	71	Тульская Область	района	-
Березовский	42	Кемеровская Область	-	-
Березовский	66	Свердловская Область	-	-
Боровск-1	40	Калужская Область	-	-
Буденновск	26	Ставропольский Край	района	-
Великие Луки-1	60	Псковская Область	-	-
Венев	71	Тульская Область	района	-
Вольск-18	64	Саратовская Область	-	-
Воронеж-45	36	Воронежская Область	-	-
Вышний Волочек	69	Тверская Область	-	-
Городской округ Черноголовка	50	Московская Область	-	-
Гусиноозерск	3	Бурятия Республика	района	-
Жигулевск	63	Самарская Область	-	-
Заозерный	24	Красноярский Край	-	-
Заозерск	51	Мурманская Область	-	-
Зеленоград	77	Москва Город	-	-
Иркутск-45	38	Иркутская Область	-	-
Истра-1	50	Московская Область	-	-
Кашира-8	50	Московская Область	-	-
Киселевск	42	Кемеровская Область	-	-
Костерево	33	Владимирская Область	-	-
Кременки	40	Калужская Область	-	-
Кузнецк-12	58	Пензенская Область	-	-
Кузнецк-8	58	Пензенская Область	-	-
Ликино-Дулево	50	Московская Область	-	-
Нижние Серги-3	66	Свердловская Область	-	-
Новохоперск	36	Воронежская Область	района	-
Озерск	39	Калининградская Область	района	-
Озерск	74	Челябинская Область	-	-
Озеры	50	Московская Область	района	-
Олекминск	14	Саха /Якутия/ Республика	района	-
Оленегорск-1	51	Мурманская Область	-	-
Оленегорск-2	51	Мурманская Область	-	-
Оленегорск-4	51	Мурманская Область	-	-
Орел	57	Орловская Область	региона	-
Очер	59	Пермский Край	района	-
Пикалево	47	Ленинградская Область	-	-
Плес	37	Ивановская Область	-	-
Подгорное	91	Крым Республика	-	-
Пугачев	64	Саратовская Область	района	-
Ростов	76	Ярославская Область	района	-
Семенов	52	Нижегородская Область	-	-
Сергиев Посад-7	50	Московская Область	-	-
Снегири	50	Московская Область	-	-
Солнечногорск-2	50	Московская Область	-	-
Солнечногорск-25	50	Московская Область	-	-
Солнечногорск-30	50	Московская Область	-	-
Солнечногорск-7	50	Московская Область	-	-
Сольцы 2	53	Новгородская Область	-	-
Сычевка	67	Смоленская Область	района	-
Тимашевск	23	Краснодарский Край	района	-
Трехгорный	74	Челябинская Область	-	-
Трехгорный-1	74	Челябинская Область	-	-
Чермоз	59	Пермский Край	-	-
Чехов-2	50	Московская Область	-	-
Чехов-3	50	Московская Область	-	-
Чехов-8	50	Московская Область	-	-
Чулым-3	54	Новосибирская Область	-	-
Шаховская	50	Московская Область	района	-
Шахтерск	65	Сахалинская Область	-	-
Щекино	71	Тульская Область	района	-
Щелкино	91	Крым Республика	-	-
Щелково	50	Московская Область	района	-
Энгельс-19	64	Саратовская Область	-	-
Энгельс-2	64	Саратовская Область	-	-
Юхнов-1	40	Калужская Область	-	-
Юхнов-2	40	Калужская Область	-	-
Москва	77	Москва Город	-	12380664
