city,dreams,region,center,pop
Абаза,3,Хакасия Республика,-,17111
Абакан,300,Хакасия Республика,региона,165183
Абдулино,6,Оренбургская Область,района,20183
Абинск,10,Краснодарский Край,района,34926
Агидель,1,Башкортостан Республика,-,16365
Агинское,1,-,-,-
Агрыз,3,Татарстан Республика,района,19299
Адамовка,1,-,-,-
Адлер,6,-,-,-
Азнакаево,1,Татарстан Республика,района,34859
Азов,48,Ростовская Область,-,82882
Азовское,1,-,-,-
Айхал,1,-,-,-
Акбулак,2,-,-,-
Аксай,18,Ростовская Область,района,41984
Аксарайский,1,-,-,-
Аксубаево,1,-,-,-
Актаныш,1,-,-,-
Алапаевск,10,Свердловская Область,-,38198
Алатырь,15,Чувашская Республика - Чувашия,-,38202
Алдан,6,Саха /Якутия/ Республика,района,21277
Алейск,12,Алтайский Край,-,29512
Александров,117,Владимирская Область,района,61544
Александровск,4,Пермский Край,-,14502
Александровское,5,-,-,-
Алексеевка,50,Белгородская Область,района,39026
Алексин,5,Тульская Область,района,61738
Алтайское,3,-,-,-
Алупка,1,Крым Республика,-,9018
Алушта,19,Крым Республика,-,31440
Альметьевск,60,Татарстан Республика,района,146309
Амурск,34,Хабаровский Край,-,42977
Анадырь,7,Чукотский Автономный округ,региона,13053
Анапа,55,Краснодарский Край,района,58983
Ангарск,84,Иркутская Область,-,233765
Андреаполь,1,Тверская Область,района,8265
Андреевка,2,-,-,-
Анжеро-Судженск,18,Кемеровская Область,-,76669
Анна,4,-,-,-
Апатиты,44,Мурманская Область,-,59690
Апрелевка,19,Московская Область,-,18467
Апшеронск,5,Краснодарский Край,района,40229
Арбаж,1,-,-,-
Ардатов,5,Мордовия Республика,района,9400
Арзамас,69,Нижегородская Область,-,106367
Аркадак,1,Саратовская Область,района,12846
Армавир,117,Краснодарский Край,-,188897
Армянск,18,Крым Республика,-,23869
Арсеньев,3,Приморский Край,-,56742
Арск,1,Татарстан Республика,района,18114
Артемовский,4,Свердловская Область,района,-
Артём,17,Приморский Край,-,102636
Архангельск,383,Архангельская Область,региона,348716
Асбест,40,Свердловская Область,-,68914
Аскиз,1,-,-,-
Астрахань,476,Астраханская Область,региона,520662
Атаманово,1,-,-,-
Аткарск,4,Саратовская Область,-,25620
Атюрьево,1,-,-,-
Ахтубинск,20,Астраханская Область,района,41898
Ахты,12,-,-,-
Ачинск,98,Красноярский Край,-,109156
Аша,7,Челябинская Область,района,31916
Бабаево,4,Вологодская Область,района,12074
Бабушкин,1,Бурятия Республика,-,4839
Бавлы,2,Татарстан Республика,района,22109
Базарный Сызган,1,-,-,-
Баймак,1,Башкортостан Республика,района,17710
Бакал,2,Челябинская Область,-,20953
Балабаново,11,Калужская Область,-,26337
Балаково,117,Саратовская Область,-,199576
Балахна,12,Нижегородская Область,района,51526
Балахта,2,-,-,-
Балашиха,233,Московская Область,-,215353
Балашов,22,Саратовская Область,-,82222
Балезино,4,-,-,-
Балтийск,2,Калининградская Область,района,32670
Барабинск,4,Новосибирская Область,-,30394
Барнаул,1277,Алтайский Край,региона,612091
Барыш,1,Ульяновская Область,-,17149
Батайск,12,Ростовская Область,-,111856
Батырево,3,-,-,-
Бахчисарай,27,Крым Республика,-,27549
Бегуницы,1,-,-,-
Бежецк,8,Тверская Область,района,24517
Безенчук,4,-,-,-
Белая Глина,1,-,-,-
Белая Калитва,26,Ростовская Область,района,43688
Белгород,1077,Белгородская Область,региона,356426
Белебей,33,Башкортостан Республика,района,60183
Белинский,1,Пензенская Область,района,8567
Белово,52,Кемеровская Область,-,76752
Белогорск,62,Крым Республика,-,68220
Белозерск,2,Вологодская Область,района,9614
Белокуриха,2,Алтайский Край,-,14660
Беломорск,1,Карелия Республика,района,11217
Белоозерский,5,-,-,-
Белорецк,21,Башкортостан Республика,района,68804
Белореченск,17,Краснодарский Край,района,53891
Белоусово,2,Калужская Область,-,8432
Белоярский,6,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,20283
Белые Берега,1,-,-,-
Белый Яр,1,-,-,-
Бердск,27,Новосибирская Область,-,97288
Березники,55,Пермский Край,-,156512
Березовка,1,-,-,-
Березово,3,-,-,-
Березовский,14,Свердловская Область,-,-
Бетлица,1,-,-,-
Бея,1,-,-,-
Бжедуховская,1,-,-,-
Бийск,177,Алтайский Край,-,210055
Билибино,1,Чукотский Автономный округ,района,5504
Биробиджан,40,Еврейская Автономная область,региона,75419
Бирск,13,Башкортостан Республика,района,41637
Бирюч,2,Белгородская Область,района,7842
Бичура,1,-,-,-
Благовещенск,214,Амурская Область,региона,214397
Благодарный,4,Ставропольский Край,района,32736
Бобров,7,Воронежская Область,района,19738
Богатое,1,-,-,-
Богданович,16,Свердловская Область,-,30678
Богородицк,11,Тульская Область,района,31897
Богородск,6,Нижегородская Область,района,25497
Богородское,6,-,-,-
Боготол,11,Красноярский Край,-,21029
Богучаны,1,-,-,-
Богучар,3,Воронежская Область,района,11811
Бодайбо,3,Иркутская Область,-,15331
Бокситогорск,7,Ленинградская Область,района,16593
Болгар,1,Татарстан Республика,района,8650
Бологое,15,Тверская Область,района,23499
Болотное,1,Новосибирская Область,района,16570
Болхов,2,Орловская Область,района,11421
Большая Мартыновка,1,-,-,-
Большевик,1,-,-,-
Большое Болдино,1,-,-,-
Большое Мурашкино,1,-,-,-
