source,target,type
1939,1183,directed
1183,3056,directed
3056,764,directed
4646,7244,directed
2454,3985,directed
3985,4995,directed
4995,8739,directed
8739,8172,directed
6184,3032,directed
8247,2270,directed
6704,5196,directed
5196,2343,directed
8141,4728,directed
4728,8322,directed
5416,5925,directed
7822,8242,directed
8242,6164,directed
6601,3056,directed
3056,115,directed
4571,2971,directed
4026,1913,directed
1913,4269,directed
1257,7190,directed
2122,4497,directed
4497,5000,directed
5000,3162,directed
7033,3799,directed
9331,837,directed
3296,837,directed
8328,7890,directed
7890,4072,directed
4072,3954,directed
5071,7702,directed
7702,5032,directed
7446,7184,directed
7591,4269,directed
850,9097,directed
9097,6437,directed
74,3969,directed
3969,7184,directed
7184,2816,directed
2816,7822,directed
4682,9252,directed
3207,4269,directed
4269,229,directed
6351,9546,directed
9546,5840,directed
7991,3353,directed
8456,3353,directed
3353,4269,directed
5626,1563,directed
1563,8406,directed
5195,5694,directed
5694,6895,directed
2415,6715,directed
6416,826,directed
826,1403,directed
2232,1381,directed
5169,7870,directed
6577,3056,directed
3056,3854,directed
8266,7860,directed
9491,5097,directed
5097,1293,directed
8381,8011,directed
8011,8328,directed
8328,5000,directed
5000,7194,directed
7194,2901,directed
2901,7041,directed
5651,1829,directed
9549,2541,directed
2541,8218,directed
8218,5947,directed
5947,4452,directed
4036,8063,directed
5742,7905,directed
7905,1663,directed
1663,8711,directed
663,2799,directed
2799,7905,directed
7905,1678,directed
2355,6074,directed
5632,7526,directed
6704,9488,directed
9488,837,directed
6106,5613,directed
5613,5341,directed
5341,8880,directed
8880,6008,directed
5228,2435,directed
1552,3056,directed
3056,4859,directed
2541,7905,directed
7905,1678,directed
1678,2901,directed
2901,5550,directed
5550,7225,directed
8671,4237,directed
4237,2044,directed
2044,1487,directed
1487,2856,directed
8456,7019,directed
7019,7019,directed
7019,4269,directed
5075,774,directed
4891,3206,directed
3768,5964,directed
5253,901,directed
8328,5000,directed
5000,8866,directed
8866,5746,directed
3056,5000,directed
5000,3569,directed
3569,4531,directed
4531,2734,directed
2734,1654,directed
1654,4954,directed
4954,2746,directed
7033,7905,directed
7905,6777,directed
6777,2781,directed
2781,8444,directed
2135,7184,directed
7184,2816,directed
2816,7822,directed
429,1065,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
1794,5742,directed
5213,3056,directed
3056,6658,directed
6658,2799,directed
7714,9198,directed
9198,8429,directed
1714,8242,directed
8242,3611,directed
3611,2617,directed
8567,5651,directed
5651,4269,directed
6291,7822,directed
3315,7591,directed
4278,5218,directed
5218,2901,directed
2901,4531,directed
6704,8429,directed
7041,7090,directed
7090,3056,directed
3056,2589,directed
2589,4759,directed
4759,4595,directed
7964,5223,directed
8986,6698,directed
6698,1539,directed
1023,2055,directed
2055,4450,directed
4450,1829,directed
1411,7033,directed
7033,5651,directed
850,3077,directed
7591,7905,directed
7905,457,directed
457,8520,directed
8520,115,directed
7689,8520,directed
8520,7890,directed
7890,4427,directed
4427,5578,directed
8632,3714,directed
3714,2055,directed
2055,1829,directed
3760,5680,directed
3621,5742,directed
5742,9516,directed
9516,5988,directed
6122,1913,directed
1913,4269,directed
4531,6518,directed
6518,5426,directed
