id	word	number_of_occurences	frequency	log_frequency
3	чёрно	1	6.61949175542e06	11.9254919651
4	серо	1	6.61949175542e06	11.9254919651
5	яйцобольшой	1	6.61949175542e06	11.9254919651
6	русачка	1	6.61949175542e06	11.9254919651
8	питух	1	6.61949175542e06	11.9254919651
10	шёлковый	1	6.61949175542e06	11.9254919651
11	чемум	1	6.61949175542e06	11.9254919651
13	медветь	1	6.61949175542e06	11.9254919651
14	переставка	1	6.61949175542e06	11.9254919651
15	мамой.	1	6.61949175542e06	11.9254919651
16	запутаный	1	6.61949175542e06	11.9254919651
20	pjkjnj	1	6.61949175542e06	11.9254919651
22	скоблить	1	6.61949175542e06	11.9254919651
23	смееться	1	6.61949175542e06	11.9254919651
24	лосёнок	1	6.61949175542e06	11.9254919651
25	парнень	1	6.61949175542e06	11.9254919651
26	виноватый	1	6.61949175542e06	11.9254919651
27	доака	1	6.61949175542e06	11.9254919651
32	аквапарк	1	6.61949175542e06	11.9254919651
33	левести	1	6.61949175542e06	11.9254919651
36	вытощил	1	6.61949175542e06	11.9254919651
37	цеплёнок	1	6.61949175542e06	11.9254919651
38	сгущеный	1	6.61949175542e06	11.9254919651
40	путешествовать	1	6.61949175542e06	11.9254919651
42	малюта	1	6.61949175542e06	11.9254919651
43	купленой	1	6.61949175542e06	11.9254919651
44	светильник	1	6.61949175542e06	11.9254919651
46	ная	1	6.61949175542e06	11.9254919651
48	воронёнок	1	6.61949175542e06	11.9254919651
49	ухажёр	1	6.61949175542e06	11.9254919651
51	голва	1	6.61949175542e06	11.9254919651
52	камменый	1	6.61949175542e06	11.9254919651
53	унитас	1	6.61949175542e06	11.9254919651
55	увеличивать	1	6.61949175542e06	11.9254919651
58	кентавр	1	6.61949175542e06	11.9254919651
60	ненравиться	1	6.61949175542e06	11.9254919651
61	запутать	1	6.61949175542e06	11.9254919651
62	выкопаннный	1	6.61949175542e06	11.9254919651
64	бурьян	1	6.61949175542e06	11.9254919651
65	скрипкк	1	6.61949175542e06	11.9254919651
72	ecnhfbdfnm	1	6.61949175542e06	11.9254919651
73	ежсидеть	1	6.61949175542e06	11.9254919651
76	осса	1	6.61949175542e06	11.9254919651
78	комс	1	6.61949175542e06	11.9254919651
80	атласный	1	6.61949175542e06	11.9254919651
81	разбитие	1	6.61949175542e06	11.9254919651
82	воруеш	1	6.61949175542e06	11.9254919651
84	скровь	1	6.61949175542e06	11.9254919651
85	увольнять	1	6.61949175542e06	11.9254919651
87	dsgjltybz	1	6.61949175542e06	11.9254919651
88	вываливаться	1	6.61949175542e06	11.9254919651
90	кларнет	1	6.61949175542e06	11.9254919651
91	занимаца	1	6.61949175542e06	11.9254919651
92	хозяина	1	6.61949175542e06	11.9254919651
93	диагностировать	1	6.61949175542e06	11.9254919651
95	пункт	1	6.61949175542e06	11.9254919651
99	консервы	1	6.61949175542e06	11.9254919651
102	лцлврри	1	6.61949175542e06	11.9254919651
103	вскопаный	1	6.61949175542e06	11.9254919651
105	затапливать	1	6.61949175542e06	11.9254919651
106	нехватка	1	6.61949175542e06	11.9254919651
109	внезатно	1	6.61949175542e06	11.9254919651
110	кусание	1	6.61949175542e06	11.9254919651
111	освоюождение	1	6.61949175542e06	11.9254919651
112	предупреждение.	1	6.61949175542e06	11.9254919651
114	разгромить	1	6.61949175542e06	11.9254919651
116	асиметрия	1	6.61949175542e06	11.9254919651
119	протижения	1	6.61949175542e06	11.9254919651
121	ребро	1	6.61949175542e06	11.9254919651
123	остаток	1	6.61949175542e06	11.9254919651
124	канализационный	1	6.61949175542e06	11.9254919651
126	поцеловатть	1	6.61949175542e06	11.9254919651
128	завещание	1	6.61949175542e06	11.9254919651
129	кум	1	6.61949175542e06	11.9254919651
130	расплавиться	1	6.61949175542e06	11.9254919651
131	свекровка	1	6.61949175542e06	11.9254919651
132	опухлый	1	6.61949175542e06	11.9254919651
135	ghjlernjdsq	1	6.61949175542e06	11.9254919651
137	высохший	1	6.61949175542e06	11.9254919651
141	заключеный	1	6.61949175542e06	11.9254919651
142	рабиваться	1	6.61949175542e06	11.9254919651
143	десятка	1	6.61949175542e06	11.9254919651
144	чили	1	6.61949175542e06	11.9254919651
145	ледь	1	6.61949175542e06	11.9254919651
147	однклассник	1	6.61949175542e06	11.9254919651
149	завариться	1	6.61949175542e06	11.9254919651
151	тренажерный	1	6.61949175542e06	11.9254919651
157	подьезда	1	6.61949175542e06	11.9254919651
160	nbuh	1	6.61949175542e06	11.9254919651
161	кошлка	1	6.61949175542e06	11.9254919651
164	укутываться	1	6.61949175542e06	11.9254919651
166	рассчитываться	1	6.61949175542e06	11.9254919651
167	генекологический	1	6.61949175542e06	11.9254919651
168	жалающий	1	6.61949175542e06	11.9254919651
170	приютить	1	6.61949175542e06	11.9254919651
